onset	duration	sample	value
0	0	0	boundary
36.796	0	18398	S202
40.056	0	20028	S202
44.436	0	22218	S 54
44.848	0	22424	S201
45.97	0	22985	S 55
46.404	0	23202	S201
47.47	0	23735	S 52
47.912	0	23956	S201
49.02	0	24510	S 51
49.424	0	24712	S201
50.502	0	25251	S 55
50.856	0	25428	S201
52.136	0	26068	S 51
52.448	0	26224	S201
53.652	0	26826	S 53
54.024	0	27012	S201
55.102	0	27551	S 54
55.448	0	27724	S201
56.67	0	28335	S 52
57.036	0	28518	S201
58.202	0	29101	S 53
58.552	0	29276	S201
63.936	0	31968	S202
66.276	0	33138	S202
70.67	0	35335	S 41
71.056	0	35528	S201
72.252	0	36126	S 45
72.648	0	36324	S201
73.852	0	36926	S 43
74.232	0	37116	S201
75.37	0	37685	S 45
75.712	0	37856	S201
76.986	0	38493	S 45
77.336	0	38668	S201
78.502	0	39251	S 44
78.788	0	39394	S201
79.97	0	39985	S 45
80.352	0	40176	S201
81.436	0	40718	S 41
81.768	0	40884	S201
82.87	0	41435	S 41
83.22	0	41610	S201
84.37	0	42185	S 43
84.796	0	42398	S201
86.002	0	43001	S 44
86.412	0	43206	S201
87.52	0	43760	S 44
87.836	0	43918	S202
89.002	0	44501	S 42
89.344	0	44672	S201
90.602	0	45301	S 43
90.992	0	45496	S201
92.136	0	46068	S 43
92.568	0	46284	S201
93.62	0	46810	S 45
93.976	0	46988	S201
95.17	0	47585	S 43
95.5	0	47750	S201
96.736	0	48368	S 45
97.108	0	48554	S201
98.27	0	49135	S 41
98.604	0	49302	S201
99.852	0	49926	S 42
100.36	0	50180	S201
101.402	0	50701	S 43
101.756	0	50878	S201
102.92	0	51460	S 44
103.336	0	51668	S201
104.502	0	52251	S 44
104.816	0	52408	S201
106.02	0	53010	S 44
106.324	0	53162	S201
107.502	0	53751	S 42
107.828	0	53914	S201
109.002	0	54501	S 42
109.324	0	54662	S201
110.62	0	55310	S 44
111.048	0	55524	S201
112.136	0	56068	S 42
112.532	0	56266	S201
113.77	0	56885	S 43
114.108	0	57054	S201
115.336	0	57668	S 43
115.708	0	57854	S201
116.802	0	58401	S 42
117.212	0	58606	S201
118.252	0	59126	S 45
118.648	0	59324	S201
119.852	0	59926	S 41
120.396	0	60198	S201
121.352	0	60676	S 41
121.724	0	60862	S201
122.87	0	61435	S 41
123.324	0	61662	S201
124.486	0	62243	S 42
124.88	0	62440	S201
126.02	0	63010	S 45
126.4	0	63200	S201
127.636	0	63818	S 44
128.14	0	64070	S201
129.236	0	64618	S 42
129.588	0	64794	S201
130.804	0	65402	S 41
131.124	0	65562	S201
151.832	0	75916	S202
156.316	0	78158	S202
160.654	0	80327	S 34
161.012	0	80506	S201
