onset	duration	sample	value
0	0	0	boundary
21.342	0	10671	S  2
25.684	0	12842	S 11
26.626	0	13313	S111
27.15	0	13575	S 12
27.57	0	13785	S212
28.734	0	14367	S 22
29.17	0	14585	S122
30.366	0	15183	S 12
30.706	0	15353	S212
31.816	0	15908	S 22
32.394	0	16197	S222
33.334	0	16667	S 22
33.77	0	16885	S122
34.834	0	17417	S 12
35.214	0	17607	S212
36.284	0	18142	S 22
36.942	0	18471	S222
37.816	0	18908	S 21
38.306	0	19153	S121
39.334	0	19667	S 12
39.686	0	19843	S212
48.406	0	24203	S212
48.414	0	24207	S212
51.602	0	25801	S212
56.018	0	28009	S 11
56.442	0	28221	S111
57.568	0	28784	S 12
57.922	0	28961	S212
59.2	0	29600	S 21
59.686	0	29843	S121
60.634	0	30317	S 22
60.902	0	30451	S222
62.168	0	31084	S 12
62.566	0	31283	S212
63.65	0	31825	S 22
64.162	0	32081	S222
65.134	0	32567	S 22
65.622	0	32811	S222
66.634	0	33317	S 11
67.114	0	33557	S111
68.268	0	34134	S 11
68.79	0	34395	S211
69.8	0	34900	S 22
70.262	0	35131	S222
71.318	0	35659	S 22
71.786	0	35893	S222
72.9	0	36450	S 22
73.418	0	36709	S222
74.418	0	37209	S 12
74.91	0	37455	S212
75.918	0	37959	S 21
76.398	0	38199	S121
77.384	0	38692	S 22
78.238	0	39119	S222
78.9	0	39450	S 21
79.43	0	39715	S121
80.45	0	40225	S 11
80.954	0	40477	S111
82.034	0	41017	S 11
82.446	0	41223	S111
83.568	0	41784	S 21
84.166	0	42083	S121
85.1	0	42550	S 22
85.654	0	42827	S222
86.534	0	43267	S 21
87.194	0	43597	S121
88.1	0	44050	S 12
88.618	0	44309	S212
89.668	0	44834	S 22
90.146	0	45073	S222
91.134	0	45567	S 12
91.514	0	45757	S212
92.668	0	46334	S 21
93.134	0	46567	S121
94.234	0	47117	S 12
94.65	0	47325	S212
95.818	0	47909	S 12
96.214	0	48107	S212
97.35	0	48675	S 21
97.818	0	48909	S121
99	0	49500	S 12
99.502	0	49751	S212
100.484	0	50242	S 11
100.926	0	50463	S111
102.034	0	51017	S 12
102.49	0	51245	S212
103.684	0	51842	S 12
104.078	0	52039	S212
105.2	0	52600	S 21
105.658	0	52829	S121
106.8	0	53400	S 11
107.23	0	53615	S111
108.384	0	54192	S 21
108.918	0	54459	S121
109.85	0	54925	S 22
110.326	0	55163	S222
111.384	0	55692	S 11
111.95	0	55975	S111
112.968	0	56484	S 11
113.402	0	56701	S111
114.434	0	57217	S 21
114.982	0	57491	S121
115.984	0	57992	S 11
116.478	0	58239	S111
125.226	0	62613	S211
125.234	0	62617	S211
126.626	0	63313	S211
131.084	0	65542	S 12
131.506	0	65753	S212
132.684	0	66342	S 12
133.114	0	66557	S212
134.284	0	67142	S 21
134.738	0	67369	S121
135.884	0	67942	S 11
136.33	0	68165	S111
137.468	0	68734	S 11
137.886	0	68943	S111
139	0	69500	S 11
139.39	0	69695	S111
140.468	0	70234	S 12
140.93	0	70465	S212
142.068	0	71034	S 22
142.586	0	71293	S222
143.55	0	71775	S 22
144.05	0	72025	S222
145.018	0	72509	S 22
145.51	0	72755	S222
146.584	0	73292	S 12
146.914	0	73457	S212
148.068	0	74034	S 12
148.37	0	74185	S212
149.7	0	74850	S 12
149.982	0	74991	S212
151.218	0	75609	S 21
151.436	0	75718	S221
152.768	0	76384	S 21
153.246	0	76623	S221
154.218	0	77109	S 22
155.226	0	77613	S222
155.834	0	77917	S 11
156.33	0	78165	S111
157.434	0	78717	S 22
158.278	0	79139	S222
158.95	0	79475	S 11
159.512	0	79756	S111
160.418	0	80209	S 12
160.764	0	80382	S212
161.884	0	80942	S 22
162.254	0	81127	S222
163.318	0	81659	S 21
163.796	0	81898	S121
164.9	0	82450	S 12
165.41	0	82705	S212
166.518	0	83259	S 22
166.914	0	83457	S222
167.984	0	83992	S 21
168.494	0	84247	S121
169.45	0	84725	S 12
169.842	0	84921	S212
171.018	0	85509	S 21
171.518	0	85759	S121
172.518	0	86259	S 22
173.15	0	86575	S222
173.984	0	86992	S 11
174.514	0	87257	S111
175.45	0	87725	S 21
175.888	0	87944	S221
176.95	0	88475	S 21
177.772	0	88886	S121
178.55	0	89275	S 22
179.124	0	89562	S222
180.168	0	90084	S 21
180.84	0	90420	S121
181.634	0	90817	S 12
182.064	0	91032	S212
183.118	0	91559	S 11
183.508	0	91754	S111
184.584	0	92292	S 11
185.02	0	92510	S111
186.168	0	93084	S 22
186.44	0	93220	S122
187.668	0	93834	S 11
188.232	0	94116	S111
189.25	0	94625	S 11
189.728	0	94864	S111
190.7	0	95350	S 21
191.268	0	95634	S121
195.792	0	97896	S221
198.456	0	99228	S221
203.018	0	101509	S 11
203.5	0	101750	S111
204.6	0	102300	S 11
205.016	0	102508	S111
206.068	0	103034	S 22
206.676	0	103338	S222
207.55	0	103775	S 11
207.98	0	103990	S111
209.068	0	104534	S 21
209.548	0	104774	S121
210.55	0	105275	S 12
211.196	0	105598	S212
212.084	0	106042	S 21
212.704	0	106352	S121
213.534	0	106767	S 22
214.016	0	107008	S122
215.15	0	107575	S 22
215.684	0	107842	S222
216.65	0	108325	S 11
217.144	0	108572	S111
218.218	0	109109	S 22
218.748	0	109374	S222
219.734	0	109867	S 11
220.208	0	110104	S111
221.218	0	110609	S 11
221.54	0	110770	S211
222.668	0	111334	S 12
223.148	0	111574	S212
224.234	0	112117	S 21
224.76	0	112380	S121
225.768	0	112884	S 12
226.364	0	113182	S212
227.402	0	113701	S 21
228.08	0	114040	S121
228.884	0	114442	S 21
229.376	0	114688	S121
230.484	0	115242	S 22
230.94	0	115470	S222
232.052	0	116026	S 21
232.612	0	116306	S121
233.518	0	116759	S 21
233.992	0	116996	S121
235.052	0	117526	S 22
235.56	0	117780	S222
236.668	0	118334	S 21
237.232	0	118616	S121
238.168	0	119084	S 11
238.6	0	119300	S111
239.668	0	119834	S 22
240.104	0	120052	S222
241.302	0	120651	S 12
241.98	0	120990	S212
242.818	0	121409	S 12
243.328	0	121664	S212
244.284	0	122142	S 12
244.724	0	122362	S212
245.752	0	122876	S 12
246.212	0	123106	S212
247.368	0	123684	S 11
247.76	0	123880	S111
248.852	0	124426	S 11
249.244	0	124622	S111
250.484	0	125242	S 11
250.828	0	125414	S111
252.018	0	126009	S 22
252.516	0	126258	S222
253.552	0	126776	S 21
254.12	0	127060	S121
255.168	0	127584	S 21
255.688	0	127844	S121
256.718	0	128359	S 12
257.172	0	128586	S212
258.202	0	129101	S 22
258.752	0	129376	S222
259.702	0	129851	S 22
260.364	0	130182	S222
261.302	0	130651	S 12
261.668	0	130834	S212
262.902	0	131451	S 12
263.4	0	131700	S212
268.372	0	134186	S212
269.552	0	134776	S212
274.018	0	137009	S 11
274.464	0	137232	S111
275.634	0	137817	S 21
276.172	0	138086	S121
277.252	0	138626	S 22
277.812	0	138906	S122
278.852	0	139426	S 21
279.34	0	139670	S121
280.334	0	140167	S 12
280.78	0	140390	S212
281.968	0	140984	S 12
282.456	0	141228	S212
283.452	0	141726	S 12
283.936	0	141968	S212
285.002	0	142501	S 11
285.448	0	142724	S111
286.618	0	143309	S 11
287.052	0	143526	S111
288.118	0	144059	S 21
288.632	0	144316	S121
289.568	0	144784	S 22
289.936	0	144968	S122
291.218	0	145609	S 22
291.676	0	145838	S222
292.734	0	146367	S 11
293.212	0	146606	S111
294.268	0	147134	S 22
294.784	0	147392	S222
295.884	0	147942	S 12
296.412	0	148206	S212
297.502	0	148751	S 21
297.996	0	148998	S121
299.134	0	149567	S 11
299.596	0	149798	S111
300.718	0	150359	S 12
301.124	0	150562	S212
302.202	0	151101	S 11
302.536	0	151268	S111
303.684	0	151842	S 21
303.936	0	151968	S221
305.302	0	152651	S 22
305.556	0	152778	S122
306.918	0	153459	S 11
308.368	0	154184	S 22
308.604	0	154302	S222
309.902	0	154951	S 21
310.456	0	155228	S121
311.468	0	155734	S 12
311.78	0	155890	S212
312.918	0	156459	S 22
313.392	0	156696	S222
314.452	0	157226	S 21
315.02	0	157510	S221
315.918	0	157959	S 11
316.532	0	158266	S111
317.384	0	158692	S 21
317.904	0	158952	S121
318.934	0	159467	S 22
319.26	0	159630	S122
320.418	0	160209	S 12
320.936	0	160468	S212
321.968	0	160984	S 22
322.48	0	161240	S222
323.502	0	161751	S 12
323.884	0	161942	S212
325.052	0	162526	S 11
325.492	0	162746	S111
326.534	0	163267	S 12
326.944	0	163472	S212
328.134	0	164067	S 21
328.664	0	164332	S121
329.702	0	164851	S 11
330.272	0	165136	S111
331.284	0	165642	S 12
331.804	0	165902	S212
332.868	0	166434	S 22
333.3	0	166650	S222
334.434	0	167217	S 21
334.892	0	167446	S121
340.968	0	170484	S221
342.596	0	171298	S221
347.102	0	173551	S 11
347.64	0	173820	S111
348.552	0	174276	S 11
348.904	0	174452	S111
350.102	0	175051	S 21
350.592	0	175296	S121
351.718	0	175859	S 21
352.024	0	176012	S121
353.284	0	176642	S 12
353.644	0	176822	S212
354.752	0	177376	S 12
355.132	0	177566	S212
356.352	0	178176	S 21
356.932	0	178466	S121
357.902	0	178951	S 21
358.384	0	179192	S121
