onset	duration	sample	value
0	0	0	boundary
38.978	0	19489	S202
44.39	0	22195	S202
48.63	0	24315	S211
49.446	0	24723	S201
50.214	0	25107	S212
50.938	0	25469	S201
51.83	0	25915	S211
52.218	0	26109	S201
53.264	0	26632	S222
53.758	0	26879	S201
54.798	0	27399	S211
55.218	0	27609	S201
56.348	0	28174	S211
56.718	0	28359	S202
57.964	0	28982	S222
58.374	0	29187	S202
59.58	0	29790	S222
60.034	0	30017	S201
61.198	0	30599	S222
61.738	0	30869	S201
62.63	0	31315	S221
63.118	0	31559	S201
73.762	0	36881	S202
81.862	0	40931	S202
85.948	0	42974	S222
86.462	0	43231	S201
87.564	0	43782	S222
88.022	0	44011	S201
89.114	0	44557	S221
89.51	0	44755	S201
90.598	0	45299	S221
91.086	0	45543	S201
92.064	0	46032	S222
92.514	0	46257	S201
93.498	0	46749	S211
94.018	0	47009	S202
95.03	0	47515	S211
95.442	0	47721	S201
96.598	0	48299	S222
97.046	0	48523	S201
98.148	0	49074	S222
98.714	0	49357	S201
99.614	0	49807	S212
100.218	0	50109	S201
101.18	0	50590	S221
101.662	0	50831	S201
102.814	0	51407	S212
103.218	0	51609	S201
104.448	0	52224	S212
105.134	0	52567	S201
105.898	0	52949	S222
106.522	0	53261	S202
107.43	0	53715	S221
107.87	0	53935	S202
109.03	0	54515	S212
109.642	0	54821	S201
110.614	0	55307	S212
111.098	0	55549	S201
112.214	0	56107	S221
112.674	0	56337	S201
113.764	0	56882	S222
114.178	0	57089	S201
115.398	0	57699	S222
115.874	0	57937	S201
116.914	0	58457	S212
117.554	0	58777	S201
118.414	0	59207	S212
118.938	0	59469	S201
119.998	0	59999	S222
120.562	0	60281	S202
121.548	0	60774	S221
122.11	0	61055	S201
123.18	0	61590	S211
123.626	0	61813	S202
124.73	0	62365	S212
125.302	0	62651	S202
126.264	0	63132	S211
126.802	0	63401	S202
127.848	0	63924	S211
128.406	0	64203	S201
129.398	0	64699	S212
129.846	0	64923	S201
131.014	0	65507	S211
131.446	0	65723	S201
132.464	0	66232	S221
132.922	0	66461	S202
133.998	0	66999	S211
134.494	0	67247	S201
135.548	0	67774	S212
136.038	0	68019	S201
137.13	0	68565	S221
137.646	0	68823	S201
138.68	0	69340	S211
139.21	0	69605	S202
140.148	0	70074	S221
140.662	0	70331	S201
141.748	0	70874	S211
142.218	0	71109	S202
143.33	0	71665	S222
143.786	0	71893	S201
144.83	0	72415	S221
145.318	0	72659	S201
146.38	0	73190	S221
147.042	0	73521	S201
157.266	0	78633	S202
161.398	0	80699	S202
165.514	0	82757	S211
166.054	0	83027	S201
166.948	0	83474	S222
167.482	0	83741	S201
168.498	0	84249	S212
169.11	0	84555	S201
170.048	0	85024	S211
170.522	0	85261	S201
171.582	0	85791	S211
172.046	0	86023	S202
173.032	0	86516	S222
173.434	0	86717	S202
174.632	0	87316	S221
175.23	0	87615	S201
176.182	0	88091	S212
176.61	0	88305	S201
177.714	0	88857	S212
178.226	0	89113	S201
179.348	0	89674	S221
179.87	0	89935	S201
180.964	0	90482	S211
181.51	0	90755	S201
182.432	0	91216	S212
182.954	0	91477	S201
184.048	0	92024	S211
184.47	0	92235	S201
185.632	0	92816	S212
186.062	0	93031	S201
187.148	0	93574	S211
187.578	0	93789	S201
188.698	0	94349	S221
189.138	0	94569	S202
190.314	0	95157	S212
190.85	0	95425	S202
191.898	0	95949	S222
192.486	0	96243	S201
193.414	0	96707	S221
193.846	0	96923	S201
194.998	0	97499	S211
195.53	0	97765	S201
196.598	0	98299	S222
197.098	0	98549	S201
198.232	0	99116	S211
198.678	0	99339	S201
199.782	0	99891	S212
200.218	0	100109	S201
201.298	0	100649	S211
201.818	0	100909	S201
202.832	0	101416	S212
203.334	0	101667	S201
204.298	0	102149	S212
205.864	0	102932	S211
206.346	0	103173	S201
207.464	0	103732	S212
207.982	0	103991	S201
208.932	0	104466	S222
209.406	0	104703	S201
210.382	0	105191	S222
210.81	0	105405	S201
211.982	0	105991	S221
212.33	0	106165	S201
213.532	0	106766	S211
213.974	0	106987	S202
215.064	0	107532	S221
215.634	0	107817	S201
216.732	0	108366	S221
217.29	0	108645	S202
218.232	0	109116	S222
218.806	0	109403	S201
219.882	0	109941	S212
220.39	0	110195	S201
221.432	0	110716	S221
221.95	0	110975	S201
222.914	0	111457	S222
223.338	0	111669	S201
224.448	0	112224	S221
224.846	0	112423	S201
225.932	0	112966	S212
226.322	0	113161	S201
231.35	0	115675	S202
233.81	0	116905	S202
238.014	0	119007	S211
238.526	0	119263	S202
239.548	0	119774	S212
240.034	0	120017	S201
241.014	0	120507	S211
241.498	0	120749	S202
242.564	0	121282	S222
243.238	0	121619	S201
244.082	0	122041	S211
244.554	0	122277	S201
245.514	0	122757	S222
245.954	0	122977	S201
247.082	0	123541	S222
247.63	0	123815	S201
248.682	0	124341	S212
249.154	0	124577	S201
250.232	0	125116	S222
250.622	0	125311	S201
251.764	0	125882	S211
252.146	0	126073	S201
253.332	0	126666	S222
253.842	0	126921	S201
254.848	0	127424	S212
255.39	0	127695	S201
256.298	0	128149	S211
256.686	0	128343	S201
257.848	0	128924	S211
258.338	0	129169	S201
259.364	0	129682	S221
259.858	0	129929	S202
260.948	0	130474	S221
261.446	0	130723	S201
262.382	0	131191	S211
262.802	0	131401	S202
263.932	0	131966	S221
264.322	0	132161	S201
265.498	0	132749	S212
265.906	0	132953	S201
266.998	0	133499	S212
267.434	0	133717	S202
268.548	0	134274	S222
