onset	duration	sample	value
0	0	0	boundary
15.468	0	7734	S  1
18.928	0	9464	S180
19.524	0	9762	S180
20.102	0	10051	S180
20.702	0	10351	S180
21.31	0	10655	S180
21.974	0	10987	S180
22.588	0	11294	S180
23.19	0	11595	S180
23.776	0	11888	S180
24.346	0	12173	S180
24.966	0	12483	S180
25.534	0	12767	S180
26.178	0	13089	S180
26.762	0	13381	S180
27.378	0	13689	S180
28.026	0	14013	S 80
28.62	0	14310	S 80
29.264	0	14632	S 80
29.85	0	14925	S 80
30.496	0	15248	S 80
31.126	0	15563	S 80
31.774	0	15887	S 80
32.408	0	16204	S 80
32.984	0	16492	S 80
33.592	0	16796	S 80
34.256	0	17128	S 70
34.826	0	17413	S 80
35.456	0	17728	S 80
36.074	0	18037	S 70
36.668	0	18334	S 80
37.28	0	18640	S 80
37.912	0	18956	S 80
38.524	0	19262	S 80
39.1	0	19550	S 70
39.696	0	19848	S 80
40.252	0	20126	S 80
40.9	0	20450	S 70
41.458	0	20729	S 80
42.032	0	21016	S 80
42.662	0	21331	S 70
43.302	0	21651	S 80
43.886	0	21943	S 70
44.468	0	22234	S 80
45.11	0	22555	S 80
45.75	0	22875	S 80
46.382	0	23191	S 80
46.962	0	23481	S 80
47.622	0	23811	S 70
48.184	0	24092	S 80
48.798	0	24399	S 70
49.392	0	24696	S 80
50.006	0	25003	S 70
50.614	0	25307	S 80
51.19	0	25595	S 80
51.872	0	25936	S 80
52.466	0	26233	S 80
53.122	0	26561	S 80
53.766	0	26883	S 70
54.358	0	27179	S 80
54.98	0	27490	S 80
55.642	0	27821	S 80
56.236	0	28118	S 80
56.906	0	28453	S 80
57.528	0	28764	S 70
58.18	0	29090	S 80
58.762	0	29381	S 80
59.362	0	29681	S 80
59.978	0	29989	S 70
60.616	0	30308	S 80
61.188	0	30594	S 80
61.826	0	30913	S 80
62.42	0	31210	S 80
63.054	0	31527	S 80
63.678	0	31839	S 80
64.26	0	32130	S 80
64.86	0	32430	S 80
65.532	0	32766	S 70
66.196	0	33098	S 80
66.828	0	33414	S 70
67.48	0	33740	S 80
68.082	0	34041	S 80
68.694	0	34347	S 80
69.306	0	34653	S 80
69.908	0	34954	S 80
70.574	0	35287	S 70
71.164	0	35582	S 80
71.752	0	35876	S 80
72.354	0	36177	S 80
72.944	0	36472	S 80
73.526	0	36763	S 70
74.124	0	37062	S 80
74.722	0	37361	S 80
75.358	0	37679	S 80
76.02	0	38010	S 80
76.63	0	38315	S 80
77.222	0	38611	S 80
77.842	0	38921	S 70
78.46	0	39230	S 80
79.078	0	39539	S 80
79.636	0	39818	S 80
80.224	0	40112	S 70
80.848	0	40424	S 80
81.486	0	40743	S 80
82.052	0	41026	S 80
82.696	0	41348	S 80
83.358	0	41679	S 80
83.992	0	41996	S 80
84.602	0	42301	S 80
85.196	0	42598	S 80
85.834	0	42917	S 70
86.448	0	43224	S 80
87.074	0	43537	S 70
87.672	0	43836	S 80
88.288	0	44144	S 80
88.894	0	44447	S 80
89.464	0	44732	S 80
90.14	0	45070	S 70
